Trade number;Instrument;Account;Strategy;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Entry name;Exit name;Profit;Cum. net profit;Commission;Clearing Fee;Exchange Fee;IP Fee;NFA Fee;MAE;MFE;ETD;Bars;
11;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Short;1;6689,50;6683,75;18/9/2025 10:51:50;18/9/2025 10:54:23;Entry;Target1;$ 287,50;-$ 837,50;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 12,50;$ 287,50;$ 0,00;0;
12;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Short;1;6704,75;6704,50;19/9/2025 09:29:05;19/9/2025 09:47:10;Entry;Stop1;$ 12,50;-$ 825,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 37,50;$ 125,00;$ 112,50;0;
13;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Short;1;6733,75;6735,75;22/9/2025 13:07:45;22/9/2025 13:09:56;Entry;Stop1;-$ 100,00;-$ 925,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 100,00;$ 25,00;$ 125,00;0;
14;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Long;1;6724,25;6724,50;24/9/2025 09:52:01;24/9/2025 10:30:47;Entry;Stop1;$ 12,50;-$ 912,50;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 50,00;$ 212,50;$ 200,00;0;
15;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Long;1;6656,50;6662,50;25/9/2025 14:04:50;25/9/2025 14:08:32;Entry;Target1;$ 300,00;-$ 612,50;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 37,50;$ 300,00;$ 0,00;0;
16;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Long;1;6670,50;6674,75;26/9/2025 11:16:01;26/9/2025 11:16:25;Entry;Target1;$ 212,50;-$ 400,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 212,50;$ 0,00;0;
17;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Short;1;6712,75;6712,25;29/9/2025 15:29:26;29/9/2025 15:45:41;Entry;Stop1;$ 25,00;-$ 375,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 62,50;$ 200,00;$ 175,00;0;
18;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Long;1;6702,00;6706,25;30/9/2025 10:36:06;30/9/2025 10:44:11;Entry;Target1;$ 212,50;-$ 162,50;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 125,00;$ 250,00;$ 37,50;0;
19;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Short;1;6762,25;6764,00;2/10/2025 14:41:59;2/10/2025 14:49:05;Entry;Stop1;-$ 87,50;-$ 250,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 137,50;$ 87,50;$ 175,00;0;
20;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Short;1;6768,25;6764,25;2/10/2025 15:16:07;2/10/2025 16:37:48;Entry;Target1;$ 200,00;-$ 50,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 162,50;$ 212,50;$ 12,50;0;
21;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Long;1;6766,75;6770,25;3/10/2025 15:52:57;3/10/2025 15:56:47;Entry;Target1;$ 175,00;$ 125,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 12,50;$ 187,50;$ 12,50;0;
